,customer_id,group,purchase_count
0,0,test,0.0
1,1,test,0.0
2,2,test,1.0
3,3,test,2.0
4,4,test,0.0
5,5,test,0.0
6,6,test,0.0
7,7,test,0.0
8,8,test,0.0
9,9,test,0.0
10,10,test,0.0
11,11,test,0.0
12,12,test,2.0
13,13,test,0.0
14,14,test,0.0
15,15,test,0.0
16,16,test,0.0
17,17,test,1.0
18,18,test,1.0
19,19,test,1.0
20,20,test,2.0
21,21,test,0.0
22,22,test,2.0
23,23,test,0.0
24,24,test,1.0
25,25,test,2.0
26,26,test,1.0
27,27,test,0.0
28,28,test,1.0
29,29,test,0.0
30,30,test,0.0
31,31,test,2.0
32,32,test,1.0
33,33,test,1.0
34,34,test,1.0
35,35,test,0.0
36,36,test,1.0
37,37,test,1.0
38,38,test,0.0
39,39,test,0.0
40,40,test,1.0
41,41,test,0.0
42,42,test,1.0
43,43,test,0.0
44,44,test,4.0
45,45,test,0.0
46,46,test,0.0
47,47,test,1.0
48,48,test,1.0
49,49,test,0.0
50,50,test,1.0
51,51,test,0.0
52,52,test,2.0
53,53,test,0.0
54,54,test,0.0
55,55,test,0.0
56,56,test,0.0
57,57,test,0.0
58,58,test,1.0
59,59,test,2.0
60,60,test,2.0
61,61,test,2.0
62,62,test,0.0
63,63,test,1.0
64,64,test,2.0
65,65,test,0.0
66,66,test,1.0
67,67,test,0.0
68,68,test,0.0
69,69,test,1.0
70,70,test,1.0
71,71,test,1.0
72,72,test,1.0
73,73,test,0.0
74,74,test,1.0
75,75,test,0.0
76,76,test,0.0
77,77,test,1.0
78,78,test,1.0
79,79,test,1.0
80,80,test,1.0
81,81,test,1.0
82,82,test,2.0
83,83,test,0.0
84,84,test,0.0
85,85,test,0.0
86,86,test,2.0
87,87,test,1.0
88,88,test,0.0
89,89,test,0.0
90,90,test,0.0
91,91,test,1.0
92,92,test,0.0
93,93,test,1.0
94,94,test,1.0
95,95,test,0.0
96,96,test,0.0
97,97,test,0.0
98,98,test,0.0
99,99,test,0.0
100,100,test,0.0
101,101,test,0.0
102,102,test,0.0
103,103,test,1.0
104,104,test,0.0
105,105,test,0.0
106,106,test,3.0
107,107,test,1.0
108,108,test,2.0
109,109,test,0.0
110,110,test,2.0
111,111,test,1.0
112,112,test,0.0
113,113,test,1.0
114,114,test,0.0
115,115,test,1.0
116,116,test,0.0
117,117,test,0.0
118,118,test,1.0
119,119,test,2.0
120,120,test,3.0
121,121,test,1.0
122,122,test,0.0
123,123,test,0.0
124,124,test,1.0
125,125,test,0.0
126,126,test,0.0
127,127,test,0.0
128,128,test,1.0
129,129,test,1.0
